ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,5505.68983074,977.011453155589,10097.272808456875,5505.68983074,5505.68983074,201.18745711496183,201.18745711496183,201.18745711496183,201.18745711496183,201.18745711496183,201.18745711496183,0.0,0.0,0.0,5706.877287854962
2023-01-08,5510.89445438576,1674.6159357015697,10960.944874375382,5510.89445438576,5510.89445438576,982.6169702605245,982.6169702605245,982.6169702605245,982.6169702605245,982.6169702605245,982.6169702605245,0.0,0.0,0.0,6493.511424646284
2023-01-15,5516.099078031521,1977.267293101732,11045.170439021733,5516.099078031521,5516.099078031521,1001.9712324021218,1001.9712324021218,1001.9712324021218,1001.9712324021218,1001.9712324021218,1001.9712324021218,0.0,0.0,0.0,6518.070310433643
2023-01-22,5521.30370167728,1015.366556241799,10410.099852605796,5521.30370167728,5521.30370167728,132.45392497428304,132.45392497428304,132.45392497428304,132.45392497428304,132.45392497428304,132.45392497428304,0.0,0.0,0.0,5653.7576266515625
2023-01-29,5526.508325782887,39.10754161693736,8997.104528275928,5526.508325782887,5526.508325782887,-1086.9657049315122,-1086.9657049315122,-1086.9657049315122,-1086.9657049315122,-1086.9657049315122,-1086.9657049315122,0.0,0.0,0.0,4439.542620851375
2023-02-05,5531.712949888495,-1281.809738199327,8136.378810716341,5531.712949888495,5531.712949888495,-2032.3833678887656,-2032.3833678887656,-2032.3833678887656,-2032.3833678887656,-2032.3833678887656,-2032.3833678887656,0.0,0.0,0.0,3499.3295819997293
2023-02-12,5536.917573994102,-1325.0832579822236,7868.653709796219,5536.917573994102,5536.917573994102,-2469.096245465947,-2469.096245465947,-2469.096245465947,-2469.096245465947,-2469.096245465947,-2469.096245465947,0.0,0.0,0.0,3067.821328528155
2023-02-19,5542.122198205901,-1532.8712596454943,7460.26400304838,5542.122198205901,5542.122198205901,-2551.688159855567,-2551.688159855567,-2551.688159855567,-2551.688159855567,-2551.688159855567,-2551.688159855567,0.0,0.0,0.0,2990.4340383503345
2023-02-26,5547.326822417701,-1130.290406479114,7479.642685045648,5547.326822417701,5547.326822417701,-2457.5929350041565,-2457.5929350041565,-2457.5929350041565,-2457.5929350041565,-2457.5929350041565,-2457.5929350041565,0.0,0.0,0.0,3089.7338874135444
2023-03-05,5552.531446629499,-1104.18719969486,7885.582132099357,5552.531446629499,5552.531446629499,-2070.1682522918404,-2070.1682522918404,-2070.1682522918404,-2070.1682522918404,-2070.1682522918404,-2070.1682522918404,0.0,0.0,0.0,3482.363194337659
2023-03-12,5557.736072185758,-89.44796437837837,9045.60128421023,5557.736072185758,5557.736072185758,-1072.5392240001397,-1072.5392240001397,-1072.5392240001397,-1072.5392240001397,-1072.5392240001397,-1072.5392240001397,0.0,0.0,0.0,4485.196848185618
2023-03-19,5562.940697742014,1432.060154799382,10633.110718103077,5562.940697742014,5562.940697742014,572.7858064570257,572.7858064570257,572.7858064570257,572.7858064570257,572.7858064570257,572.7858064570257,0.0,0.0,0.0,6135.72650419904
2023-03-26,5568.145323298271,3326.2670372712555,12303.152166362912,5568.145323298271,5568.145323298271,2234.9809184369738,2234.9809184369738,2234.9809184369738,2234.9809184369738,2234.9809184369738,2234.9809184369738,0.0,0.0,0.0,7803.126241735245
2023-04-02,5573.3499488545285,4008.232642148923,12805.221254943748,5573.3499488545285,5573.3499488545285,2869.993881309251,2869.993881309251,2869.993881309251,2869.993881309251,2869.993881309251,2869.993881309251,0.0,0.0,0.0,8443.34383016378
2023-04-09,5578.554574499543,3185.96973760864,12154.298793106154,5578.554574499543,5578.554574499543,1925.3229909715471,1925.3229909715471,1925.3229909715471,1925.3229909715471,1925.3229909715471,1925.3229909715471,0.0,0.0,0.0,7503.877565471091
